id,tenant_id,name,domain,industry,company_size,annual_revenue,founded_year,headquarters,description,website,phone,address,city,state,country,postal_code,timezone,is_customer,tags,created_at,created_by
51799094-b05c-4065-8cb7-c74a325090ce,6e2684b5-dd18-4549-8440-7276b577d2b5,Velocity Labs Co,velocitylabsco.com,Consulting,1000+,435204959.81,1987,"Albuquerque, WI",A leading company in the finance sector.,https://velocitylabsco.com,+16899514076,3796 Elm Rd,Albuquerque,MA,CA,61717,UTC,True,[],2026-05-16T16:43:36.926460,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
3000df05-cf42-468a-bbf7-323afb9bc7c9,6e2684b5-dd18-4549-8440-7276b577d2b5,Bronze Gate Partners,bronzegatepartners.com,Automotive,201-500,411217529.75,2003,"San Francisco, TX",A leading company in the marketing sector.,https://bronzegatepartners.com,+14024977737,9298 Pine Rd,San Francisco,NC,CA,93283,US/Pacific,False,"['churned', 'content_downloader']",2025-06-04T08:23:45.926524,8b51f21b-0da9-4139-8f04-0ef4187ce705
1d0f3655-e497-49d1-89f7-b64a85018ff5,6e2684b5-dd18-4549-8440-7276b577d2b5,CloudPeak Analytics Corp,cloudpeakanalyticscorp.com,Education,1-10,117438276.21,2014,"Tucson, TX",A leading company in the hospitality sector.,https://cloudpeakanalyticscorp.com,+13948385094,8950 Elm Rd,Tucson,TX,GB,64379,UTC,False,"['upsell', 'enterprise', 'seasonal']",2026-02-19T11:13:02.926568,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
2602d07a-905a-44c6-9967-13357a05e41c,6e2684b5-dd18-4549-8440-7276b577d2b5,SwiftScale LLC,swiftscalellc.com,Education,1000+,183699112.5,2021,"Boston, TX",A leading company in the healthcare sector.,https://swiftscalellc.com,+13709996749,3209 Main Dr,Boston,PA,DE,94109,UTC,True,"['renewal', 'cold_lead']",2025-09-03T05:48:17.926615,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
1785b2a6-f8f1-44bc-a2e0-410d4846811e,6e2684b5-dd18-4549-8440-7276b577d2b5,Silver Stream Group,silverstreamgroup.com,Automotive,11-50,406535837.91,1994,"Columbus, OK",A leading company in the manufacturing sector.,https://silverstreamgroup.com,+19682166412,9864 Main Blvd,Columbus,CA,GB,80807,US/Central,False,[],2025-03-03T08:06:20.926649,8b51f21b-0da9-4139-8f04-0ef4187ce705
50e1f99c-b099-47c4-8af5-6780bbd0174e,6e2684b5-dd18-4549-8440-7276b577d2b5,Apex Health Co,apexhealthco.com,Automotive,51-200,7939752.7,1996,"Indianapolis, TX",A leading company in the manufacturing sector.,https://apexhealthco.com,+15185654811,8719 Main St,Indianapolis,NM,BR,57453,UTC,False,['referral_partner'],2025-03-22T03:17:48.926906,71030eb2-1621-4863-8e2d-b6184abb7f32
9f0fadba-1c00-4c53-95ea-575d853d86fd,6e2684b5-dd18-4549-8440-7276b577d2b5,Vanguard Systems Ltd,vanguardsystemsltd.com,Technology,1-10,499293448.21,2005,"Long Beach, KY",A leading company in the education sector.,https://vanguardsystemsltd.com,+18400655972,7367 Main St,Long Beach,TN,MX,29442,UTC,True,"['webinar_attendee', 'referral_partner']",2026-08-02T14:02:37.926982,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
59147001-5885-4696-8b40-6ad538b9654e,6e2684b5-dd18-4549-8440-7276b577d2b5,Coral Health Group,coralhealthgroup.com,Education,1000+,57251315.51,2021,"Louisville, CA",A leading company in the insurance sector.,https://coralhealthgroup.com,+19390951149,3622 Elm Dr,Louisville,NC,IN,54424,US/Pacific,False,[],2025-12-22T18:50:41.927034,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f
a85375e1-e6d3-4c09-9f60-72605e2f471b,6e2684b5-dd18-4549-8440-7276b577d2b5,Copper Systems Corp,coppersystemscorp.com,Manufacturing,1000+,461496368.62,1984,"Boston, PA",A leading company in the finance sector.,https://coppersystemscorp.com,+12400420225,1682 Pine Ave,Boston,GA,US,86869,US/Central,False,"['demo', 'win_back', 'content_downloader']",2025-03-29T13:46:45.927075,7675c849-0f1f-4fa3-923c-f392ea4a2f35
46b9888f-7f59-4f91-89a2-576ee9d3c2a2,6e2684b5-dd18-4549-8440-7276b577d2b5,Vanguard Systems Corp,vanguardsystemscorp.com,Automotive,500+,106408765.9,2022,"San Antonio, NM",A leading company in the marketing sector.,https://vanguardsystemscorp.com,+15639017775,5836 Cedar Blvd,San Antonio,CA,FR,85248,US/Eastern,False,[],2025-11-05T04:21:39.927113,d53e375b-e751-4c1c-9dd2-2c198336f144
