id,tenant_id,entity_type,entity_id,content,created_at,created_by
389f9431-b27c-484e-a0cc-13b133472835,6e2684b5-dd18-4549-8440-7276b577d2b5,company,69de1c1d-70ea-4d51-a7c9-3295839b6dbf,Client interested in enterprise plan,2026-01-25T21:35:58.498975,876017f1-7629-48e0-9ce9-20b44276c7d6
12e724f1-06a5-4666-881f-a12b0e0f9251,6e2684b5-dd18-4549-8440-7276b577d2b5,company,3dcfad1d-76f8-4bae-87a2-eb67d31fbdaa,Need to involve technical team,2026-07-10T13:32:54.499045,8b51f21b-0da9-4139-8f04-0ef4187ce705
73d83d9e-184c-4da1-a81f-22bba0cb7fe0,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,b1d987c1-66ac-4f52-b9c4-10b745f1f516,Need to involve technical team,2026-04-23T05:03:11.499084,876017f1-7629-48e0-9ce9-20b44276c7d6
15f3d39c-a988-4092-8749-2d7e1cdc1f6f,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,5bb1cb7a-a0a7-468d-b830-bf9cb9241212,Discussed pricing options with client,2026-05-24T09:40:14.499115,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
b169ee38-5771-46c5-8ce6-fdf3216f13d8,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,f89963f5-9cf7-454b-bb62-8dae8d477f62,Client requested case studies,2025-08-16T15:34:52.499132,71030eb2-1621-4863-8e2d-b6184abb7f32
d0b9300f-aabf-4105-8ad0-5e9bce7c0370,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,ba005acf-db13-4503-884b-0c05ab1ad616,Call scheduled for next week,2026-06-28T09:57:58.499178,876017f1-7629-48e0-9ce9-20b44276c7d6
c2628f2f-4245-42b6-a5ad-64b973a1086a,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,bbb35261-edc9-41b5-8ed4-bfe5dc66dd6f,Budget approved for Q3,2025-12-31T21:14:38.499206,63c904bb-37e1-42e9-b828-03d273915302
5f3c955a-6645-44b5-9cd5-647eef456119,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,20e5ef84-8ec6-4989-91f5-00f8631a4c6b,Contract renewal in Q2,2026-01-15T19:12:18.499227,71030eb2-1621-4863-8e2d-b6184abb7f32
1f11c910-510b-45dd-b584-f56c35f030d4,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,894cec95-d2dc-4180-887f-2a9ad31f5bf3,Client needs custom reporting,2025-10-02T06:42:46.499244,876017f1-7629-48e0-9ce9-20b44276c7d6
5f91f587-efdf-42e1-a236-df954d5646ff,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,1e651b31-ade5-4303-a7f7-182dc551b352,Call scheduled for next week,2026-06-29T00:19:05.499260,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f
34355db4-e8ef-4c19-9e0d-97023ac448c3,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,d9bf7057-4260-4db2-a6fe-5cf52250d132,Decision maker is VP of Sales,2026-03-19T10:28:28.499275,63c904bb-37e1-42e9-b828-03d273915302
d5fea43f-7477-4cca-94d5-c94149447ea3,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,c2602c97-dc72-4682-bcb7-07c72d1166e9,Need to involve technical team,2025-09-23T10:19:50.499296,d53e375b-e751-4c1c-9dd2-2c198336f144
f848e7e7-8ece-4909-ac74-5c91a1cf1a40,6e2684b5-dd18-4549-8440-7276b577d2b5,company,337909c4-a41f-41e2-8439-8492f3575057,Follow-up needed after demo,2026-02-12T03:52:17.499312,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb
98d45b3f-977c-4507-8b2c-017fb53b6090,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,b79c2b79-115d-4f7c-bab7-77f0ace82977,Discussed pricing options with client,2025-12-17T05:31:51.499338,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
e4153cd6-6d07-4caa-a8bb-da6f82abc7a6,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,9322ba88-b829-4715-9f2c-b37e97d39317,Stakeholder meeting went well,2025-08-07T21:21:52.499353,8b51f21b-0da9-4139-8f04-0ef4187ce705
05cffd9d-265b-4e37-b190-49753a6161ae,6e2684b5-dd18-4549-8440-7276b577d2b5,company,5e7fb560-56ba-46d6-88f6-8b3886d84448,Budget approved for Q3,2025-09-20T12:17:49.499368,7223e10a-b124-4a7f-a342-f0f59020ba2f
16259de7-ca41-4f7c-a8ab-463888b816a7,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,0816a287-f016-4011-a95d-e36b848c2ee3,Decision maker is VP of Sales,2026-07-28T04:12:39.499383,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
f5e00a33-25d5-46b9-9984-2df0bb8bb0e8,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,edad6ba3-0fd3-40b4-b624-ea5f54946e78,Discussed pricing options with client,2026-01-13T22:49:49.499397,7223e10a-b124-4a7f-a342-f0f59020ba2f
75d51c7f-04a8-49df-bebe-65c53cf5c612,6e2684b5-dd18-4549-8440-7276b577d2b5,company,b2d0f96b-1c04-4a12-9352-7ddbfc9904e0,Contract renewal in Q2,2026-07-17T21:49:22.499412,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
fdebd640-4254-496f-b8eb-e218b2824f93,6e2684b5-dd18-4549-8440-7276b577d2b5,company,8eeae569-4ee7-4277-8ea9-cab565c5a0aa,Decision maker is VP of Sales,2026-04-04T21:17:38.499431,f26bd177-029d-4863-993c-dfebe5004897
16ff079c-dae2-4062-91fd-a14a3021029e,6e2684b5-dd18-4549-8440-7276b577d2b5,company,2b5a6213-159d-403b-b73c-4fa6a5bb8f69,Client requested case studies,2026-05-14T08:57:54.499446,876017f1-7629-48e0-9ce9-20b44276c7d6
bf0ca305-8a1d-49f0-9fe6-46f3bcf63cef,6e2684b5-dd18-4549-8440-7276b577d2b5,company,497e49ac-a5cc-4f23-a4d5-2e65403e2f74,Client comparing with competitor,2026-07-05T18:39:16.499464,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
b8aa1f2a-5952-4a04-b46c-7c43f4bb5207,6e2684b5-dd18-4549-8440-7276b577d2b5,company,bf7872a0-3d26-445b-8eb8-80751ff502ed,Client comparing with competitor,2025-08-07T21:28:16.499478,13f891f6-02c5-48a2-bb4f-65f664be06a0
99abe9b4-ce59-4f26-b522-4d5c1988726a,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,dafd87f7-5953-41d2-a27d-5aa666570699,Decision maker is VP of Sales,2026-02-09T23:19:59.499493,f26bd177-029d-4863-993c-dfebe5004897
c5211c31-7a2e-4be7-8eed-b17c1aaa86e2,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,5e1c67a9-a1a4-4e15-9250-687eb7fc8520,Follow-up needed after demo,2025-12-31T21:57:08.499507,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f
fbd6726a-b64a-4e1c-b237-57ee72c8a82c,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,c4a2d14c-37e5-45c2-92df-74e394024fb8,Call scheduled for next week,2026-02-15T16:31:57.499523,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb
b609286f-986a-4b02-bf99-6fc7397ac071,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,221683cf-345a-497d-9fe6-8e58b4158bbe,Budget approved for Q3,2026-05-01T00:41:03.499541,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
ea0f0d84-780a-434a-b3aa-d120b904f9af,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,4e1eac84-9899-45ce-81cb-0c58e6835257,Strong interest in API integration,2025-08-25T03:38:54.499556,71030eb2-1621-4863-8e2d-b6184abb7f32
7c620c34-e7d2-4a77-864b-b0aec58c1547,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,6efd7158-8dbe-40af-8ace-7c069e0de935,Call scheduled for next week,2026-01-07T17:33:49.499570,7675c849-0f1f-4fa3-923c-f392ea4a2f35
6a4f9776-f28b-4f16-9ee2-f019e3de5150,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,77b82c90-7cf7-4c49-9535-5f603b2ed9dc,Sent proposal via email,2025-12-18T05:29:20.499584,13f891f6-02c5-48a2-bb4f-65f664be06a0
abce97c7-a9c0-40ed-ae2d-8c11e73d1ae6,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,b1d987c1-66ac-4f52-b9c4-10b745f1f516,Strong interest in API integration,2025-10-28T05:33:33.499597,71030eb2-1621-4863-8e2d-b6184abb7f32
a88c781b-dd15-4301-a5d1-853bd37c1096,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,9107a49a-0cee-4ac0-8e7c-a8b41d9f1d0b,Sent proposal via email,2025-08-22T05:42:34.499611,d53e375b-e751-4c1c-9dd2-2c198336f144
e1de6d54-df55-499b-878c-f5e3e1d4cfe2,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,3608f98b-faff-4c27-84cb-20a6f6f84759,Discussed pricing options with client,2026-01-15T01:18:06.499624,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb
0bf949b6-1dda-4c65-8e21-02dd56f56a1c,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,9efec801-a78d-4b40-80f8-65dfde5bbd37,Decision maker is VP of Sales,2026-03-04T03:32:55.499643,71030eb2-1621-4863-8e2d-b6184abb7f32
cb553af3-6df8-4d55-a874-9e5a12bd0545,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,917ded0a-1dbe-4743-a0d6-3e445f13a5f0,Client needs custom reporting,2026-02-16T03:59:22.499657,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
0b37c0b5-2648-4f68-9d37-40eac9619561,6e2684b5-dd18-4549-8440-7276b577d2b5,contact,66d3f12c-f783-42ba-9d33-b3a72ec78915,Follow-up needed after demo,2026-03-16T06:25:38.499672,f26bd177-029d-4863-993c-dfebe5004897
7cc8b29b-b5ba-456f-adbc-fdc26f058858,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,c036ee76-95e5-4a77-8253-8cdee0368eb8,Decision maker is VP of Sales,2026-05-16T03:03:37.499689,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
a62aadac-7bae-447d-b1b9-cd833a325d09,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,e20ef05a-5344-4f45-bbf6-7b6567dc93da,Call scheduled for next week,2025-10-05T14:08:55.499703,f26bd177-029d-4863-993c-dfebe5004897
9b73b710-f968-4f1c-85d6-a7cd62b0b7e7,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,fe4cb8c4-4b74-4582-bd27-225f2cb1b950,Budget approved for Q3,2025-12-13T00:21:28.499717,63c904bb-37e1-42e9-b828-03d273915302
1e4259ec-398f-4933-9654-9bba45fcee8e,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,8b9daa5a-a9aa-459f-998d-fa6e966a5c0e,Follow-up needed after demo,2025-08-11T05:54:17.499730,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
78599c7f-2eb3-41dc-99aa-e60ae2a62cb9,6e2684b5-dd18-4549-8440-7276b577d2b5,company,f622b1bc-12e3-45d2-830a-6236b4572c59,Client needs custom reporting,2025-09-05T08:01:44.499744,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
5e697ee1-aa86-4e4a-a215-d5c6abe30494,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,ed61a452-a17e-4ad5-bea4-599f137b6902,Strong interest in API integration,2026-04-14T17:35:25.499821,876017f1-7629-48e0-9ce9-20b44276c7d6
ae7d676a-c6b4-4fbe-a2b1-d4692eff95e2,6e2684b5-dd18-4549-8440-7276b577d2b5,deal,b1d987c1-66ac-4f52-b9c4-10b745f1f516,Client needs custom reporting,2026-08-03T01:32:45.499838,63c904bb-37e1-42e9-b828-03d273915302
