id,tenant_id,contact_id,company_id,pipeline_id,stage_id,stage_entered_at,title,amount,close_date,assigned_to,created_at,created_by
7aea6f79-8a55-4687-98c8-cca8787d2dfa,6e2684b5-dd18-4549-8440-7276b577d2b5,,,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,b4be3c8c-9e4c-4fd9-8ec0-c38105a72eeb,2026-07-11T05:27:57.706233,Enterprise Deal - Platinum Partners,44017.8,2026-05-26T10:58:07.706303,eb9f903e-4cd4-462b-9c0c-0720da83cfc0,2026-07-08T14:19:03.706233,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
ba867c4b-3553-46fb-a59e-5a4035ccddfa,6e2684b5-dd18-4549-8440-7276b577d2b5,d890ab4b-c284-4d6d-9b18-fa75e7f153d6,,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,de013863-499a-430c-b921-70dec8e7b1df,2026-04-14T03:21:11.706323,Starter Deal - BrightStar Inc,271538.02,2026-08-19T23:54:16.706345,9d990953-1d48-4691-9104-88f3d84dc63c,2026-03-11T17:22:17.706323,7675c849-0f1f-4fa3-923c-f392ea4a2f35
d3d3dd10-93e7-429a-a4bb-e7231651f735,6e2684b5-dd18-4549-8440-7276b577d2b5,,d939d182-e848-4287-999c-cf7c2f137044,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,de013863-499a-430c-b921-70dec8e7b1df,2026-01-11T06:27:28.706358,Growth Deal - NexGen Software,20615.95,2026-10-24T13:32:33.706375,d53e375b-e751-4c1c-9dd2-2c198336f144,2025-12-15T12:50:34.706358,8b51f21b-0da9-4139-8f04-0ef4187ce705
4ee864d4-7b80-44f9-8ae1-17e234a7864b,6e2684b5-dd18-4549-8440-7276b577d2b5,062fafab-8947-4c84-a4d9-aa745665cf0e,e81caa7d-d624-4f61-a640-8ecbd25e6fe0,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,fa64e2f3-9838-41be-851f-5088b4e907f3,2026-01-21T06:23:43.706387,Growth Deal - IronClad Security,189306.19,2026-08-02T20:22:12.706404,9d990953-1d48-4691-9104-88f3d84dc63c,2025-12-19T19:26:25.706387,f26bd177-029d-4863-993c-dfebe5004897
f7ea740c-3753-43fa-b173-0836ee07264f,6e2684b5-dd18-4549-8440-7276b577d2b5,,,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,de013863-499a-430c-b921-70dec8e7b1df,2026-08-01T01:15:35.706415,Growth Deal - GreenField Capital,51311.27,2026-10-22T07:00:44.706432,f26bd177-029d-4863-993c-dfebe5004897,2026-06-30T23:10:33.706415,7675c849-0f1f-4fa3-923c-f392ea4a2f35
c5341324-cdcc-438e-97d8-2a98929edba5,6e2684b5-dd18-4549-8440-7276b577d2b5,,,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,29da3373-4821-4016-9b03-949711a94d0e,2026-07-13T17:46:40.706443,Premium Deal - Topaz Digital,228285.39,2027-01-02T17:41:27.706472,7675c849-0f1f-4fa3-923c-f392ea4a2f35,2026-04-21T21:41:39.706443,71030eb2-1621-4863-8e2d-b6184abb7f32
9077ee03-096e-4931-add6-0b4113a17cf9,6e2684b5-dd18-4549-8440-7276b577d2b5,,2243036d-30f5-4114-afc5-0f338177ea92,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,f6af3622-a08b-4544-a16d-18d42ff4a4e1,2025-11-25T11:26:51.706483,Custom Deal - NexGen Software,393326.08,2026-09-24T09:09:25.706499,63c904bb-37e1-42e9-b828-03d273915302,2025-09-12T22:50:03.706483,13f891f6-02c5-48a2-bb4f-65f664be06a0
270521c9-2a76-4de6-b5ad-230e675a8aea,6e2684b5-dd18-4549-8440-7276b577d2b5,d692b1ea-5e9f-4701-a982-e7cad3e7a81d,371fa42b-ac5f-4eb8-9e1b-4494a40404b4,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,fa64e2f3-9838-41be-851f-5088b4e907f3,2026-06-27T06:53:16.706517,Growth Deal - Golden Ratio,428329.48,2026-05-30T12:53:47.706535,f26bd177-029d-4863-993c-dfebe5004897,2025-09-14T08:42:26.706517,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
b9e2ae94-a9cc-4c05-a41a-e487d6b4abdb,6e2684b5-dd18-4549-8440-7276b577d2b5,,b20927d7-c6e6-4e68-843c-32f7456ac90d,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,b4be3c8c-9e4c-4fd9-8ec0-c38105a72eeb,2026-05-25T02:40:32.706554,Custom Deal - Ember Labs,396858.68,2026-07-20T04:03:32.706578,71030eb2-1621-4863-8e2d-b6184abb7f32,2026-01-12T10:49:54.706554,876017f1-7629-48e0-9ce9-20b44276c7d6
efc02bc0-2179-4c7e-afce-7ba5d038fcc4,6e2684b5-dd18-4549-8440-7276b577d2b5,88f425c5-8264-4055-b226-b587c1603fc7,9336bb89-e290-4a55-b4f2-5b46d32553c6,0a2cb6bb-2d78-4609-9e12-88a3bd1a156d,b4be3c8c-9e4c-4fd9-8ec0-c38105a72eeb,2026-07-16T11:59:39.706592,Premium Deal - Nimbus Networks,207577.94,2026-05-30T06:07:33.706608,876017f1-7629-48e0-9ce9-20b44276c7d6,2026-04-09T08:42:52.706592,13f891f6-02c5-48a2-bb4f-65f664be06a0
