id,tenant_id,user_id,contact_id,deal_id,title,description,start_time,end_time,location,status,created_at,created_by
61734ed0-fefa-4303-b5e9-cc64d35a670a,6e2684b5-dd18-4549-8440-7276b577d2b5,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb,41659826-013c-4c7a-b21b-6be7faa73788,,Training Workshop,Meeting about board meeting,2026-05-17T06:44:37.428473,2026-05-17T08:44:37.428473,In Person,cancelled,2026-01-25T04:03:06.428570,876017f1-7629-48e0-9ce9-20b44276c7d6
a39a3e6e-af6f-4b52-a3ca-9a84dbfbb678,6e2684b5-dd18-4549-8440-7276b577d2b5,d53e375b-e751-4c1c-9dd2-2c198336f144,5763a345-fa1b-4064-a6db-dc54be9b2381,,Strategy Meeting,Meeting about contract negotiation,2026-09-14T20:41:14.428583,2026-09-14T20:56:14.428583,Phone,cancelled,2025-10-18T04:06:19.428605,58f39eeb-75cb-4ef4-96ba-4a30c22a7a1e
57b5e9d9-ad3b-4f9a-804c-05e5f46881d1,6e2684b5-dd18-4549-8440-7276b577d2b5,7675c849-0f1f-4fa3-923c-f392ea4a2f35,,,Contract Negotiation,Meeting about project update,2026-09-25T19:01:33.428613,2026-09-25T20:31:33.428613,Phone,cancelled,2026-05-06T16:18:12.428631,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
8a004f11-dca3-4df6-b987-7304c4f7c0a7,6e2684b5-dd18-4549-8440-7276b577d2b5,f26bd177-029d-4863-993c-dfebe5004897,,,Strategy Meeting,Meeting about contract negotiation,2026-08-12T07:33:53.428659,2026-08-12T09:33:53.428659,Teams,completed,2025-11-08T14:33:06.428681,8b51f21b-0da9-4139-8f04-0ef4187ce705
fa68a9db-24b9-4436-8783-05ea9463b907,6e2684b5-dd18-4549-8440-7276b577d2b5,6339ef1b-ca56-4fa5-9ddb-36a79ac9d12f,eda8e36a-d935-4bb1-ad91-ba7d06020329,,Budget Review,Meeting about support call,2026-05-22T16:43:40.428690,2026-05-22T18:43:40.428690,Google Meet,no_show,2025-12-06T18:48:40.428711,d53e375b-e751-4c1c-9dd2-2c198336f144
2615a372-3c21-4d9b-a44a-c7364dcc4397,6e2684b5-dd18-4549-8440-7276b577d2b5,1f599b2d-4c19-4c7e-91e2-f8655b60b03d,,79dc17b9-da5e-426d-ab04-911a5654052b,Partnership Discussion,Meeting about training workshop,2026-06-17T20:55:27.428718,2026-06-17T21:25:27.428718,Zoom,completed,2026-07-05T05:31:54.428735,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb
0ec179a2-c796-4c11-a073-c12a9492a795,6e2684b5-dd18-4549-8440-7276b577d2b5,1f599b2d-4c19-4c7e-91e2-f8655b60b03d,,,Sales Call,Meeting about board meeting,2026-08-09T16:02:51.428742,2026-08-09T17:32:51.428742,Teams,no_show,2026-02-25T19:39:37.428759,13f891f6-02c5-48a2-bb4f-65f664be06a0
64c7eee4-eb67-40f1-b2de-e7af90bc1c7f,6e2684b5-dd18-4549-8440-7276b577d2b5,7223e10a-b124-4a7f-a342-f0f59020ba2f,,d6b2e96f-96b9-4546-90bd-e5ac2332b879,Client Check-in,Meeting about support call,2026-05-13T17:51:45.428769,2026-05-13T19:21:45.428769,Zoom,scheduled,2026-06-21T22:12:45.428791,1f599b2d-4c19-4c7e-91e2-f8655b60b03d
92e59283-59ac-4646-bb02-3020f5e0ddb0,6e2684b5-dd18-4549-8440-7276b577d2b5,7675c849-0f1f-4fa3-923c-f392ea4a2f35,54c72754-c4bb-4dd8-bf11-18c0c400f393,,Contract Negotiation,Meeting about project update,2026-10-17T00:50:00.428798,2026-10-17T01:20:00.428798,In Person,completed,2026-04-04T00:11:43.428822,eb9f903e-4cd4-462b-9c0c-0720da83cfc0
e97ae6f4-8cb3-4678-acec-5297fa813d6a,6e2684b5-dd18-4549-8440-7276b577d2b5,7223e10a-b124-4a7f-a342-f0f59020ba2f,,,Board Meeting,Meeting about project update,2026-09-08T05:45:27.428829,2026-09-08T07:45:27.428829,Zoom,no_show,2025-12-17T02:27:55.428845,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb
